===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2020-03-09 20:03:47
count workspace : /home/sulaiman/Desktop/playnows/playnows-server
total files : 176
total code lines : 7947
total comment lines : 812
total blank lines : 868

.editorconfig, code is 10, comment is 0, blank is 2.
src/database/queries/deletePostLike.js, code is 32, comment is 1, blank is 4.
src/database/queries/deleteUser.js, code is 23, comment is 1, blank is 4.
src/database/queries/deleteUserRelationship.js, code is 22, comment is 1, blank is 4.
src/database/queries/getAdminChannel.js, code is 98, comment is 1, blank is 4.
src/database/queries/getBanned.js, code is 22, comment is 1, blank is 4.
src/database/queries/getChannel.js, code is 425, comment is 527, blank is 7.
src/database/queries/getChannelPosts.js, code is 165, comment is 1, blank is 4.
src/database/queries/getChannelPublicAndType.js, code is 23, comment is 1, blank is 4.
src/database/queries/getChannels.js, code is 126, comment is 1, blank is 4.
src/database/queries/getChannelTypePublicMemberAdminBanned.js, code is 36, comment is 1, blank is 4.
src/database/queries/getComments.js, code is 87, comment is 1, blank is 4.
src/database/queries/getEmailVerificationToken.js, code is 28, comment is 0, blank is 5.
src/database/queries/getFriendRoomId.js, code is 25, comment is 1, blank is 4.
src/database/queries/getLastMessageInfo.js, code is 57, comment is 1, blank is 4.
src/database/queries/getLastPostInfo.js, code is 57, comment is 1, blank is 4.
src/database/queries/getLoginData.js, code is 76, comment is 25, blank is 6.
src/database/queries/getMemberIds.js, code is 22, comment is 1, blank is 4.
src/database/queries/getMessages.js, code is 99, comment is 3, blank is 9.
src/database/queries/getPosts.js, code is 249, comment is 5, blank is 13.
src/database/queries/getPrivateChannel.js, code is 40, comment is 1, blank is 4.
src/database/queries/getPublicChannel.js, code is 96, comment is 1, blank is 4.
src/database/queries/getRoomByMembers.js, code is 24, comment is 1, blank is 4.
src/database/queries/getRoomChannel.js, code is 63, comment is 1, blank is 4.
src/database/queries/getSearchedUsers.js, code is 31, comment is 1, blank is 4.
src/database/queries/getUser.js, code is 44, comment is 1, blank is 7.
src/database/queries/getUserRelationship.js, code is 25, comment is 1, blank is 4.
src/database/queries/getUsers.js, code is 34, comment is 1, blank is 4.
src/database/queries/getUsersAndRelationships.js, code is 47, comment is 1, blank is 4.
src/database/queries/unadminMember.js, code is 38, comment is 1, blank is 4.
src/database/queries/unbanMember.js, code is 39, comment is 1, blank is 4.
src/database/queries/updateChannel.js, code is 47, comment is 1, blank is 5.
src/database/queries/updateMember.js, code is 45, comment is 0, blank is 5.
src/database/queries/updateRoom.js, code is 33, comment is 0, blank is 5.
src/database/queries/updateUser.js, code is 47, comment is 0, blank is 5.
src/database/queries/updateUserRelationship.js, code is 23, comment is 1, blank is 4.
src/database/queries/verifyEmail.js, code is 40, comment is 1, blank is 4.
src/database/seeds/index.js, code is 61, comment is 3, blank is 10.
src/database/sql/1565249632537-init/down/init-down.sql, code is 5, comment is 0, blank is 0.
src/database/sql/1565249632537-init/up/extensions/extensions.sql, code is 4, comment is 0, blank is 0.
src/database/sql/1565249632537-init/up/functions/functions.sql, code is 170, comment is 3, blank is 6.
src/database/sql/1565249632537-init/up/indices/indices.sql, code is 1, comment is 0, blank is 0.
src/database/sql/1565249632537-init/up/tables/tables.sql, code is 193, comment is 0, blank is 16.
src/database/sql/1565249632537-init/up/triggers/triggers.sql, code is 16, comment is 3, blank is 1.
src/helpers/closeAllConnections.js, code is 6, comment is 0, blank is 1.
src/helpers/createDatabaseError.js, code is 17, comment is 0, blank is 1.
src/helpers/createProjectDirectories.js, code is 9, comment is 0, blank is 1.
src/helpers/errorHandlers/ApiErrorHandler.js, code is 8, comment is 0, blank is 1.
src/helpers/errorHandlers/index.js, code is 8, comment is 0, blank is 1.
src/helpers/errorHandlers/MulterErrorHandler.js, code is 18, comment is 0, blank is 1.
src/helpers/errorHandlers/RequestValidationErrorHandler.js, code is 21, comment is 0, blank is 3.
src/helpers/errors/ApiError.js, code is 11, comment is 0, blank is 1.
src/helpers/errors/DatabaseError.js, code is 33, comment is 0, blank is 1.
src/helpers/errors/index.js, code is 3, comment is 0, blank is 1.
src/helpers/formatUsersAndRelationships.js, code is 77, comment is 0, blank is 4.
src/helpers/gracefulExit.js, code is 55, comment is 0, blank is 13.
src/helpers/jobs/sendRegistrationEmail.js, code is 31, comment is 0, blank is 5.
src/helpers/jobs/sendVerificationEmail.js, code is 27, comment is 0, blank is 4.
src/helpers/loginUserData.js, code is 17, comment is 41, blank is 13.
src/helpers/middleware/authenticateUser.js, code is 9, comment is 0, blank is 1.
src/helpers/middleware/cache.js, code is 42, comment is 0, blank is 11.
src/helpers/middleware/errorHandler.js, code is 30, comment is 2, blank is 6.
src/helpers/middleware/multer.js, code is 17, comment is 0, blank is 3.
